Year,Distance,Stroke,Sex,Nationality,Athlete,Time,Rank,Event,Source,Time_sec,Nationality_full
1968,1500m,Freestyle,Men,AUS,Gregory Brough,00:17:04.700000,3,1500m Freestyle,Olympic,1024.7,Australia
1968,1500m,Freestyle,Men,AUS,Graham Rose White,00:17:08.000000,4,1500m Freestyle,Olympic,1028.0,Australia
1968,1500m,Freestyle,Men,CAN,Ralph Hutton,00:17:15.600000,4,1500m Freestyle,Olympic,1035.6,Canada
1968,1500m,Freestyle,Men,MEX,Guillermo Echevarria Perez,00:17:36.400000,4,1500m Freestyle,Olympic,1056.4,Mexico
1968,1500m,Freestyle,Men,MEX,Juan Carlos Alanis,00:17:46.600000,4,1500m Freestyle,Olympic,1066.6,Mexico
1968,1500m,Freestyle,Men,USA,John Mauer Nelson,00:18:05.100000,4,1500m Freestyle,Olympic,1085.1,United States
1968,200m,Backstroke,Men,GDR,Roland Matthes,00:02:09.600000,1,200m Backstroke,Olympic,129.6,GDR
1968,200m,Backstroke,Men,USA,Mitchell Ivey,00:02:10.600000,2,200m Backstroke,Olympic,130.6,United States
1968,200m,Backstroke,Men,USA,Jack S. Horsley,00:02:10.900000,3,200m Backstroke,Olympic,130.9,United States
1968,200m,Backstroke,Men,USA,Gary Jr. Hall,00:02:12.600000,4,200m Backstroke,Olympic,132.6,United States
1968,200m,Backstroke,Men,ESP,Santiago Esteva Escoda,00:02:12.900000,4,200m Backstroke,Olympic,132.9,Spain
1968,200m,Backstroke,Men,URS,Leonid Dobroskokin,00:02:15.400000,4,200m Backstroke,Olympic,135.4,URS
1968,200m,Backstroke,Men,GDR,Joachim Rother,00:02:15.800000,4,200m Backstroke,Olympic,135.8,GDR
1968,200m,Backstroke,Men,ITA,Franco Del Campo,00:02:16.500000,4,200m Backstroke,Olympic,136.5,Italy
1968,200m,Backstroke,Women,USA,Lillian Debra Watson,00:02:24.800000,1,200m Backstroke,Olympic,144.8,United States
1968,200m,Backstroke,Women,CAN,Elaine Tanner,00:02:27.400000,2,200m Backstroke,Olympic,147.4,Canada
1968,200m,Backstroke,Women,USA,Kaye Marie Hall,00:02:28.900000,3,200m Backstroke,Olympic,148.9,United States
1968,200m,Backstroke,Women,AUS,Lynette Watson,00:02:29.500000,4,200m Backstroke,Olympic,149.5,Australia
1968,200m,Backstroke,Women,GBR,Wendy Burrell,00:02:32.300000,4,200m Backstroke,Olympic,152.3,United Kingdom
1968,200m,Backstroke,Women,YUG,Zdenka Gasparac,00:02:33.500000,4,200m Backstroke,Olympic,153.5,YUG
1968,200m,Backstroke,Women,ESP,Maria Paz Corominas Guerin,00:02:33.900000,4,200m Backstroke,Olympic,153.9,Spain
1968,200m,Backstroke,Women,FRA,Benedicte Duprez,00:02:36.600000,4,200m Backstroke,Olympic,156.6,France
1968,200m,Breaststroke,Men,MEX,Felipe Munoz,00:02:28.700000,1,200m Breaststroke,Olympic,148.7,Mexico
1968,200m,Breaststroke,Men,URS,Vladimir Kosinsky,00:02:29.200000,2,200m Breaststroke,Olympic,149.2,URS
1968,200m,Breaststroke,Men,USA,Brian Gregory Job,00:02:29.900000,3,200m Breaststroke,Olympic,149.9,United States
1968,200m,Breaststroke,Men,URS,Nikolai Pankin,00:02:30.300000,4,200m Breaststroke,Olympic,150.3,URS
1968,200m,Breaststroke,Men,URS,Yevhen Mykhailov,00:02:32.800000,4,200m Breaststroke,Olympic,152.8,URS
1968,200m,Breaststroke,Men,GDR,Egon Henninger,00:02:33.200000,4,200m Breaststroke,Olympic,153.2,GDR
1968,200m,Breaststroke,Men,USA,Philip Edward Long,00:02:33.600000,4,200m Breaststroke,Olympic,153.6,United States
1968,200m,Breaststroke,Men,JPN,Osamu Tsurumine,00:02:34.900000,4,200m Breaststroke,Olympic,154.9,Japan
1968,200m,Breaststroke,Women,USA,Sharon Lynn Wichman,00:02:44.400000,1,200m Breaststroke,Olympic,164.4,United States
1968,200m,Breaststroke,Women,YUG,Djurdjica Bjedov,00:02:46.400000,2,200m Breaststroke,Olympic,166.4,YUG
1968,200m,Breaststroke,Women,URS,Halyna Prozumenshchykova-Stepanova,00:02:47.000000,3,200m Breaststroke,Olympic,167.0,URS
1968,200m,Breaststroke,Women,URS,Alla Grebennikova,00:02:47.100000,4,200m Breaststroke,Olympic,167.1,URS
1968,200m,Breaststroke,Women,USA,Catherine Jamison,00:02:48.400000,4,200m Breaststroke,Olympic,168.4,United States
1968,200m,Breaststroke,Women,URS,Svetlana Babanina,00:02:48.400000,4,200m Breaststroke,Olympic,168.4,URS
1968,200m,Breaststroke,Women,JPN,Chieno Shibata,00:02:51.500000,4,200m Breaststroke,Olympic,171.5,Japan
1968,200m,Breaststroke,Women,URU,Ana-Maria Norbis,00:02:51.900000,4,200m Breaststroke,Olympic,171.9,URU
1968,200m,Butterfly,Men,USA,Carl Joseph Iii Robie,00:02:08.700000,1,200m Butterfly,Olympic,128.7,United States
1968,200m,Butterfly,Men,GBR,Martyn John Woodroffe,00:02:09.000000,2,200m Butterfly,Olympic,129.0,United Kingdom
1968,200m,Butterfly,Men,USA,John Edward Ferris,00:02:09.300000,3,200m Butterfly,Olympic,129.3,United States
1968,200m,Butterfly,Men,URS,Valentin Kuzmin,00:02:10.600000,4,200m Butterfly,Olympic,130.6,URS
1968,200m,Butterfly,Men,SWE,Lars Feil,00:02:10.900000,4,200m Butterfly,Olympic,130.9,Sweden
1968,200m,Butterfly,Men,FRG,Volkert Meeuw,00:02:11.500000,4,200m Butterfly,Olympic,131.5,FRG
1968,200m,Butterfly,Men,URS,Viktor Sharygin,00:02:11.900000,4,200m Butterfly,Olympic,131.9,URS
1968,200m,Butterfly,Men,USA,Mark Spitz,00:02:13.500000,4,200m Butterfly,Olympic,133.5,United States
1968,200m,Butterfly,Women,NED,Aagje Ada Kok,00:02:24.700000,1,200m Butterfly,Olympic,144.7,NED
1968,200m,Butterfly,Women,GDR,Helga Lindner,00:02:24.800000,2,200m Butterfly,Olympic,144.8,GDR
1968,200m,Butterfly,Women,USA,Eleanor Suzanne Daniel,00:02:25.900000,3,200m Butterfly,Olympic,145.9,United States
1968,200m,Butterfly,Women,USA,Antonia (Toni) Hewitt,00:02:26.200000,4,200m Butterfly,Olympic,146.2,United States
1968,200m,Butterfly,Women,FRG,Heike Hustede-Nagel,00:02:27.900000,4,200m Butterfly,Olympic,147.9,FRG
1968,200m,Butterfly,Women,USA,Diane Jean Giebel,00:02:31.700000,4,200m Butterfly,Olympic,151.7,United States
1968,200m,Butterfly,Women,GBR,Margaret M. Auton,00:02:33.200000,4,200m Butterfly,Olympic,153.2,United Kingdom
1968,200m,Butterfly,Women,JPN,Yasuko Fujii,00:02:34.300000,4,200m Butterfly,Olympic,154.3,Japan
1968,200m,Freestyle,Men,AUS,Michael Vincent Wenden,00:01:55.200000,1,200m Freestyle,Olympic,115.2,Australia
1968,200m,Freestyle,Men,USA,Donald Arthur Schollander,00:01:55.800000,2,200m Freestyle,Olympic,115.8,United States
1968,200m,Freestyle,Men,USA,John Mauer Nelson,00:01:58.100000,3,200m Freestyle,Olympic,118.1,United States
1968,200m,Freestyle,Men,CAN,Ralph Hutton,00:01:58.600000,4,200m Freestyle,Olympic,118.6,Canada
1968,200m,Freestyle,Men,FRA,Alain Mosconi,00:01:59.100000,4,200m Freestyle,Olympic,119.1,France
1968,200m,Freestyle,Men,AUS,Robert George Windle,00:02:00.900000,4,200m Freestyle,Olympic,120.9,Australia
1968,200m,Freestyle,Men,URS,Semyon Belits-Geiman,00:02:01.500000,4,200m Freestyle,Olympic,121.5,URS
1968,200m,Freestyle,Men,ARG,Carlos Van Der Math,Did not start,0,200m Freestyle,Olympic,121.5,Argentina
1968,200m,Freestyle,Women,USA,Debbie Meyer,00:02:10.500000,1,200m Freestyle,Olympic,130.5,United States
1968,200m,Freestyle,Women,USA,Jane Margo Henne,00:02:11.000000,2,200m Freestyle,Olympic,131.0,United States
1968,200m,Freestyle,Women,USA,Jane Louise Barkman,00:02:11.200000,3,200m Freestyle,Olympic,131.2,United States
1968,200m,Freestyle,Women,GDR,Gabriele Wetzko,00:02:12.300000,4,200m Freestyle,Olympic,132.3,GDR
1968,200m,Freestyle,Women,YUG,Mirjana Šegrt,00:02:13.300000,4,200m Freestyle,Olympic,133.3,YUG
1968,200m,Freestyle,Women,FRA,Claude Mandonnaud,00:02:14.900000,4,200m Freestyle,Olympic,134.9,France
1968,200m,Freestyle,Women,AUS,Lynette Bell,00:02:15.100000,4,200m Freestyle,Olympic,135.1,Australia
1968,200m,Freestyle,Women,TCH,Oľga Kozičová,00:02:16.000000,4,200m Freestyle,Olympic,136.0,TCH
1968,200m,Individual medley,Men,USA,Charlie Hickcox,00:02:12.000000,1,200m Individual medley,Olympic,132.0,United States
1968,200m,Individual medley,Men,USA,Gregory F. Buckingham,00:02:13.000000,2,200m Individual medley,Olympic,133.0,United States
1968,200m,Individual medley,Men,USA,John Edward Ferris,00:02:13.300000,3,200m Individual medley,Olympic,133.3,United States
1968,200m,Individual medley,Men,PER,Juan Carlos Bello,00:02:13.700000,4,200m Individual medley,Olympic,133.7,Peru
1968,200m,Individual medley,Men,CAN,George Smith,00:02:15.900000,4,200m Individual medley,Olympic,135.9,Canada
1968,200m,Individual medley,Men,CAN,John Alexander Gilchrist,00:02:16.600000,4,200m Individual medley,Olympic,136.6,Canada
1968,200m,Individual medley,Men,FRG,Michael Holthaus,00:02:16.800000,4,200m Individual medley,Olympic,136.8,FRG
1968,200m,Individual medley,Men,HUN,Peter Lazar,00:02:18.300000,4,200m Individual medley,Olympic,138.3,Hungary
1968,200m,Individual medley,Women,USA,Claudia Anne Kolb,00:02:24.700000,1,200m Individual medley,Olympic,144.7,United States
1968,200m,Individual medley,Women,USA,Susan Jane Pedersen,00:02:28.800000,2,200m Individual medley,Olympic,148.8,United States
1968,200m,Individual medley,Women,USA,Jane Margo Henne,00:02:31.400000,3,200m Individual medley,Olympic,151.4,United States
1968,200m,Individual medley,Women,GDR,Sabine Steinbach,00:02:31.400000,3,200m Individual medley,Olympic,151.4,GDR
1968,200m,Individual medley,Women,JPN,Yoshimi Nishigawa,00:02:33.700000,4,200m Individual medley,Olympic,153.7,Japan
1968,200m,Individual medley,Women,GDR,Marianne Seydel,00:02:33.700000,4,200m Individual medley,Olympic,153.7,GDR
1968,200m,Individual medley,Women,URS,Larisa Zakharova,00:02:37.000000,4,200m Individual medley,Olympic,157.0,URS
1968,200m,Individual medley,Women,GBR,Shelagh Hudson Ratcliffe,Disqualified,0,200m Individual medley,Olympic,157.0,United Kingdom
1968,400m,Freestyle,Men,USA,Mike Burton,00:04:09.000000,1,400m Freestyle,Olympic,249.0,United States
1968,400m,Freestyle,Men,CAN,Ralph Hutton,00:04:11.700000,2,400m Freestyle,Olympic,251.7,Canada
1968,400m,Freestyle,Men,FRA,Alain Mosconi,00:04:13.300000,3,400m Freestyle,Olympic,253.3,France
1968,400m,Freestyle,Men,AUS,Gregory Brough,00:04:15.900000,4,400m Freestyle,Olympic,255.9,Australia
1968,400m,Freestyle,Men,AUS,Graham Rose White,00:04:16.700000,4,400m Freestyle,Olympic,256.7,Australia
1968,400m,Freestyle,Men,USA,John Mauer Nelson,00:04:17.200000,4,400m Freestyle,Olympic,257.2,United States
1968,400m,Freestyle,Men,FRG,Hans Fassnacht,00:04:18.100000,4,400m Freestyle,Olympic,258.1,FRG
1968,400m,Freestyle,Men,USA,Brent Thales Berk,00:04:26.000000,4,400m Freestyle,Olympic,266.0,United States
1968,400m,Freestyle,Women,USA,Debbie Meyer,00:04:31.800000,1,400m Freestyle,Olympic,271.8,United States
1968,400m,Freestyle,Women,USA,Linda Lee Gustavson,00:04:35.500000,2,400m Freestyle,Olympic,275.5,United States
1968,400m,Freestyle,Women,AUS,Karen Lynne Moras,00:04:37.000000,3,400m Freestyle,Olympic,277.0,Australia
1968,400m,Freestyle,Women,USA,Pamela Jean Kruse,00:04:37.200000,4,400m Freestyle,Olympic,277.2,United States
1968,400m,Freestyle,Women,GDR,Gabriele Wetzko,00:04:40.200000,4,400m Freestyle,Olympic,280.2,GDR
1968,400m,Freestyle,Women,MEX,Maria Teresa Ramirez,00:04:42.200000,4,400m Freestyle,Olympic,282.2,Mexico
1968,400m,Freestyle,Women,CAN,Angela Coughlaw,00:04:51.900000,4,400m Freestyle,Olympic,291.9,Canada
1968,400m,Freestyle,Women,SWE,Elisabeth Ljunggren-Morris,00:04:53.800000,4,400m Freestyle,Olympic,293.8,Sweden
1968,400m,Individual medley,Men,USA,Charlie Hickcox,00:04:48.400000,1,400m Individual medley,Olympic,288.4,United States
1968,400m,Individual medley,Men,USA,Gary Jr. Hall,00:04:48.700000,2,400m Individual medley,Olympic,288.7,United States
1968,400m,Individual medley,Men,FRG,Michael Holthaus,00:04:51.400000,3,400m Individual medley,Olympic,291.4,FRG
1968,400m,Individual medley,Men,USA,Gregory F. Buckingham,00:04:51.400000,3,400m Individual medley,Olympic,291.4,United States
1968,400m,Individual medley,Men,CAN,John Alexander Gilchrist,00:04:56.700000,4,400m Individual medley,Olympic,296.7,Canada
1968,400m,Individual medley,Men,FRG,Reinhard Merkel,00:04:59.800000,4,400m Individual medley,Olympic,299.8,FRG
1968,400m,Individual medley,Men,URS,Andrey Dunayev,00:05:00.300000,4,400m Individual medley,Olympic,300.3,URS
1968,400m,Individual medley,Men,MEX,Rafael Hernandez Rojas,00:05:04.300000,4,400m Individual medley,Olympic,304.3,Mexico
1968,400m,Individual medley,Women,USA,Claudia Anne Kolb,00:05:08.500000,1,400m Individual medley,Olympic,308.5,United States
1968,400m,Individual medley,Women,USA,Lynn Marie Vidali,00:05:22.200000,2,400m Individual medley,Olympic,322.2,United States
1968,400m,Individual medley,Women,GDR,Sabine Steinbach,00:05:25.300000,3,400m Individual medley,Olympic,325.3,GDR
1968,400m,Individual medley,Women,USA,Susan Jane Pedersen,00:05:25.800000,4,400m Individual medley,Olympic,325.8,United States
1968,400m,Individual medley,Women,GBR,Shelagh Hudson Ratcliffe,00:05:30.500000,4,400m Individual medley,Olympic,330.5,United Kingdom
1968,400m,Individual medley,Women,GDR,Marianne Seydel,00:05:32.000000,4,400m Individual medley,Olympic,332.0,GDR
1968,400m,Individual medley,Women,NZL,Kathleen Tui Shipston,00:05:34.600000,4,400m Individual medley,Olympic,334.6,New Zealand
1968,400m,Individual medley,Women,MEX,Laura Vaca,00:05:35.700000,4,400m Individual medley,Olympic,335.7,Mexico
1968,4x100m,Freestyle,Men,USA,"Mark Spitz, Kenneth Marshall Walsh, Stephen Karl Rerych, Zachary Zorn, William Roy Johnson, Donald Arthur Schollander, David Charles Johnson, Michael Allen Wall",00:03:31.700000,1,4x100m Freestyle,Olympic,211.7,United States
1968,4x100m,Freestyle,Men,SUN,"Semyon Belits-Geiman, Leonid Ilyichev, Sergei Gusev, Viktor Mazanov",00:03:34.200000,2,4x100m Freestyle,Olympic,214.2,SUN
1968,4x100m,Freestyle,Men,AUS,"Robert Cusack, Robert George Windle, Gregory Rogers, Michael Vincent Wenden",00:03:34.700000,3,4x100m Freestyle,Olympic,214.7,Australia
1968,4x100m,Freestyle,Men,GBR,"Robert Bilsland Mcgregor, David Hembrow",00:03:38.400000,4,4x100m Freestyle,Olympic,218.4,United Kingdom
1968,4x100m,Freestyle,Men,GER,"Frank Wiegand, Horst-Günther Gregor, Lothar Gericke, Udo Poser",00:03:38.800000,4,4x100m Freestyle,Olympic,218.8,GER
1968,4x100m,Freestyle,Men,GER,"Hans Fassnacht, Olaf Von Schilling, Peter Schornig, Wolfgang Kremer",00:03:39.000000,4,4x100m Freestyle,Olympic,219.0,GER
1968,4x100m,Freestyle,Men,CAN,"George Smith, John Alexander Gilchrist, Ralph Hutton, Glenn Finch",00:03:39.200000,4,4x100m Freestyle,Olympic,219.2,Canada
1968,4x100m,Freestyle,Men,JPN,"Teruhiko Kitani, Masayuki Osawa, Satoru Nakano, Kunihiro Iwasaki",00:03:41.500000,4,4x100m Freestyle,Olympic,221.5,Japan
1968,4x100m,Freestyle,Women,USA,"Linda Lee Gustavson, Jane Margo Henne, Jane Louise Barkman, Susan Jane Pedersen",00:04:02.500000,1,4x100m Freestyle,Olympic,242.5,United States
1968,4x100m,Freestyle,Women,GER,"Roswitha Krause, Martina Grunert, Gabriele Wetzko, Uta Schmuck, Gabriele Perthes",00:04:05.700000,2,4x100m Freestyle,Olympic,245.7,GER
1968,4x100m,Freestyle,Women,CAN,"Angela Coughlaw, Marion Beverly Lay, Elaine Tanner",00:04:07.200000,3,4x100m Freestyle,Olympic,247.2,Canada
1968,4x100m,Freestyle,Women,AUS,"Janet Steinbeck, Julie Mcdonald, Lynette Bell, Susan Eddy, Lynette Watson",00:04:08.700000,4,4x100m Freestyle,Olympic,248.7,Australia
1968,4x100m,Freestyle,Women,HUN,"Magdolna Patoh, Edit Kovacs, Andrea Gyarmati",00:04:11.000000,4,4x100m Freestyle,Olympic,251.0,Hungary
1968,4x100m,Freestyle,Women,JPN,"Yoshimi Nishigawa, Shigeko Kawanishi, Miwako Kobayashi, Yasuko Fujii, Yumiko Ono",00:04:13.600000,4,4x100m Freestyle,Olympic,253.6,Japan
1968,4x100m,Freestyle,Women,GBR,"Shelagh Hudson Ratcliffe, Alexandra Elizabeth Jackson, Fiona J. Kellock, Susan Elizabeth Williams",00:04:18.000000,4,4x100m Freestyle,Olympic,258.0,United Kingdom
1968,4x100m,Freestyle,Women,FRA,"Marie Josephe Kersaudy, Daniele Dorleans, Simone Hanner, Claude Mandonnaud",Disqualified,0,4x100m Freestyle,Olympic,258.0,France
1968,4x100m,Medley,Men,USA,"Douglas Albert Russell, Charlie Hickcox, Kenneth Marshall Walsh, Donald Arthur Schollander, Carl Joseph Iii Robie, Donald Ward Jr. Mckenzie, Ronald P. Mills, Chester Andrew Jastremski",00:03:54.900000,1,4x100m Medley,Olympic,234.9,United States
1968,4x100m,Medley,Men,GER,"Roland Matthes, Frank Wiegand, Egon Henninger, Horst-Günther Gregor",00:03:57.500000,2,4x100m Medley,Olympic,237.5,GER
1968,4x100m,Medley,Men,SUN,"Vladimir Kosinsky, Viktor Mazanov, Vladimir Nemshilov, Yuri Suzdaltsev, Sergei Gusev, Nikolai Pankin, Leonid Ilyichev",00:04:00.700000,3,4x100m Medley,Olympic,240.7,SUN
1968,4x100m,Medley,Men,AUS,"Robert Cusack, Karl Byrom, Lawrence Ian O'Brien, Michael Vincent Wenden",00:04:00.800000,4,4x100m Medley,Olympic,240.8,Australia
1968,4x100m,Medley,Men,JPN,"Kishio Tanaka, Satoshi Maruya, Kunihiro Iwasaki, Nobutaka Taguchi",00:04:01.800000,4,4x100m Medley,Olympic,241.8,Japan
1968,4x100m,Medley,Men,GER,"Wolfgang Kremer, Gregor Betz, Reinhard Blechert, Lutz Stocklasa",00:04:05.400000,4,4x100m Medley,Olympic,245.4,GER
1968,4x100m,Medley,Men,CAN,"William Mahony, James Shaw, John Alexander Gilchrist, Toomas Arusoo",00:04:07.300000,4,4x100m Medley,Olympic,247.3,Canada
1968,4x100m,Medley,Men,ESP,"Santiago Esteva Escoda, Jose Duran, Arturo Lang-Lenton Leon, Jose Antonio Chicoy Massa",00:04:08.800000,4,4x100m Medley,Olympic,248.8,Spain
1968,4x100m,Medley,Women,USA,"Susan Jane Pedersen, Eleanor Suzanne Daniel, Jane Ellen Swagerty, Susanne Jean Jones, Catherine Ball, Jane Margo Henne, Kaye Marie Hall, Susanne Marie Shields",00:04:28.300000,1,4x100m Medley,Olympic,268.3,United States
1968,4x100m,Medley,Women,AUS,"Lynette Watson, Janet Steinbeck, Judith Playfair, Lynette Bell, Lynette Mcclements",00:04:30.000000,2,4x100m Medley,Olympic,270.0,Australia
1968,4x100m,Medley,Women,GER,"Heike Hustede-Nagel, Angelika Kraus, Heidemarie Reineck, Uta Frommater",00:04:36.400000,3,4x100m Medley,Olympic,276.4,GER
1968,4x100m,Medley,Women,SUN,"Alla Grebennikova, Larisa Zakharova",00:04:37.000000,4,4x100m Medley,Olympic,277.0,SUN
1968,4x100m,Medley,Women,GER,"Helga Lindner, Martina Grunert, Uta Schmuck, Eva Wittke",00:04:38.000000,4,4x100m Medley,Olympic,278.0,GER
1968,4x100m,Medley,Women,GBR,"Alexandra Elizabeth Jackson, Margaret M. Auton, Wendy Burrell, Dorothy Elizabeth Harrison",00:04:38.300000,4,4x100m Medley,Olympic,278.3,United Kingdom
1968,4x100m,Medley,Women,NLD,"Jacobje (Cobie) J. Buter, Petronella (Nelly) Bos, Aagje Ada Kok, Clena Geertje Bimolt",00:04:38.700000,4,4x100m Medley,Olympic,278.7,Netherlands
1968,4x100m,Medley,Women,HUN,"Maria Balla-Lantos, Andrea Gyarmati, Edit Kovacs",00:04:42.900000,4,4x100m Medley,Olympic,282.9,Hungary
1968,4x200m,Freestyle,Men,USA,"Andrew Edward Strenk, Michael Allen Wall, Mark Spitz, David Charles Johnson, Donald Arthur Schollander, Stephen Karl Rerych, John Mauer Nelson, William Roy Johnson",00:07:52.300000,1,4x200m Freestyle,Olympic,472.3,United States
1968,4x200m,Freestyle,Men,AUS,"Gregory Rogers, Robert George Windle, Michael Vincent Wenden, Graham Rose White",00:07:53.700000,2,4x200m Freestyle,Olympic,473.7,Australia
1968,4x200m,Freestyle,Men,SUN,"Semyon Belits-Geiman, Vladimir Bure, Leonid Ilyichev",00:08:01.600000,3,4x200m Freestyle,Olympic,481.6,SUN
1968,4x200m,Freestyle,Men,CAN,"Ralph Hutton, George Smith, John Alexander Gilchrist, Ronald Brian Jacks",00:08:03.200000,4,4x200m Freestyle,Olympic,483.2,Canada
1968,4x200m,Freestyle,Men,FRA,"Gerard Letast, Michel Rousseau, Alain Mosconi, Francis Luyce",00:08:03.700000,4,4x200m Freestyle,Olympic,483.7,France
1968,4x200m,Freestyle,Men,GER,"Wolfgang Kremer, Hans Fassnacht, Volkert Meeuw, Olaf Von Schilling",00:08:04.300000,4,4x200m Freestyle,Olympic,484.3,GER
1968,4x200m,Freestyle,Men,GER,"Horst-Günther Gregor, Alfred Müller, Frank Wiegand, Jochen Herbst",00:08:06.000000,4,4x200m Freestyle,Olympic,486.0,GER
1968,4x200m,Freestyle,Men,SWE,"Lester Eriksson, Gunnar Larsson, Hans Ljungberg, Sven Ferm",00:08:12.100000,4,4x200m Freestyle,Olympic,492.1,Sweden
1968,800m,Freestyle,Women,USA,Debbie Meyer,00:09:24.000000,1,800m Freestyle,Olympic,564.0,United States
1968,800m,Freestyle,Women,USA,Pamela Jean Kruse,00:09:35.700000,2,800m Freestyle,Olympic,575.7,United States
1968,800m,Freestyle,Women,MEX,Maria Teresa Ramirez,00:09:38.500000,3,800m Freestyle,Olympic,578.5,Mexico
1968,800m,Freestyle,Women,AUS,Karen Lynne Moras,00:09:38.600000,4,800m Freestyle,Olympic,578.6,Australia
1968,800m,Freestyle,Women,USA,Patricia Caretto,00:09:51.300000,4,800m Freestyle,Olympic,591.3,United States
1968,800m,Freestyle,Women,CAN,Angela Coughlaw,00:09:56.400000,4,800m Freestyle,Olympic,596.4,Canada
1968,800m,Freestyle,Women,AUS,Denise Langford,00:09:56.700000,4,800m Freestyle,Olympic,596.7,Australia
1968,800m,Freestyle,Women,MEX,Laura Vaca,00:10:02.500000,4,800m Freestyle,Olympic,602.5,Mexico
1964,100m,Backstroke,Women,USA,Cathy Ferguson,00:01:07.700000,1,100m Backstroke,Olympic,67.7,United States
1964,100m,Backstroke,Women,FRA,Christine (Kiki) Caron,00:01:07.900000,2,100m Backstroke,Olympic,67.9,France
1964,100m,Backstroke,Women,USA,Virginia Ruth Duenkel,00:01:08.000000,3,100m Backstroke,Olympic,68.0,United States
1964,100m,Backstroke,Women,JPN,Satoko Tanaka,00:01:08.600000,4,100m Backstroke,Olympic,68.6,Japan
1964,100m,Backstroke,Women,USA,Nina Adams Harmer,00:01:09.400000,4,100m Backstroke,Olympic,69.4,United States
1964,100m,Backstroke,Women,GBR,Linda Kay Ludgrove,00:01:09.500000,4,100m Backstroke,Olympic,69.5,United Kingdom
1964,100m,Backstroke,Women,CAN,Eileen Weir,00:01:09.800000,4,100m Backstroke,Olympic,69.8,Canada
1964,100m,Backstroke,Women,GBR,Jill Rosemary Norfolk,00:01:11.200000,4,100m Backstroke,Olympic,71.2,United Kingdom
1964,100m,Butterfly,Women,USA,Sharon Marie Stouder,00:01:04.700000,1,100m Butterfly,Olympic,64.7,United States
1964,100m,Butterfly,Women,NED,Aagje Ada Kok,00:01:05.600000,2,100m Butterfly,Olympic,65.6,NED
1964,100m,Butterfly,Women,USA,Kathy Ellis,00:01:06.000000,3,100m Butterfly,Olympic,66.0,United States
1964,100m,Butterfly,Women,FIN,Eila Marjatta Pyrhonen,00:01:07.300000,4,100m Butterfly,Olympic,67.3,Finland
1964,100m,Butterfly,Women,USA,Donna Elizabeth De Varona,00:01:08.000000,4,100m Butterfly,Olympic,68.0,United States
1964,100m,Butterfly,Women,GER,Heike Hustede-Nagel,00:01:08.500000,4,100m Butterfly,Olympic,68.5,GER
1964,100m,Butterfly,Women,JPN,Eiko Takahashi,00:01:09.100000,4,100m Butterfly,Olympic,69.1,Japan
1964,100m,Butterfly,Women,CAN,Mary Pauline Stewart,00:01:10.000000,4,100m Butterfly,Olympic,70.0,Canada
1964,100m,Freestyle,Men,USA,Donald Arthur Schollander,53.400,1,100m Freestyle,Olympic,53.4,United States
1964,100m,Freestyle,Men,GBR,Robert Bilsland Mcgregor,53.500,2,100m Freestyle,Olympic,53.5,United Kingdom
1964,100m,Freestyle,Men,GER,Hans-Joachim Klein,54.000,3,100m Freestyle,Olympic,54.0,GER
1964,100m,Freestyle,Men,USA,Gary Steven Ilman,54.000,3,100m Freestyle,Olympic,54.0,United States
1964,100m,Freestyle,Men,FRA,Alain Gottvalles,54.200,4,100m Freestyle,Olympic,54.2,France
1964,100m,Freestyle,Men,USA,Michael Mackay Austin,54.500,4,100m Freestyle,Olympic,54.5,United States
1964,100m,Freestyle,Men,HUN,Gyula Dobai,54.900,4,100m Freestyle,Olympic,54.9,Hungary
1964,100m,Freestyle,Men,GER,Uwe Jacobsen,56.100,4,100m Freestyle,Olympic,56.1,GER
1964,100m,Freestyle,Women,AUS,Dawn Fraser,59.500,4,100m Freestyle,Olympic,59.5,Australia
1964,100m,Freestyle,Women,USA,Sharon Marie Stouder,59.900,4,100m Freestyle,Olympic,59.9,United States
1964,100m,Freestyle,Women,USA,Kathy Ellis,00:01:00.800000,1,100m Freestyle,Olympic,60.8,United States
1964,100m,Freestyle,Women,NED,Erica Georgine Terpstra,00:01:01.800000,2,100m Freestyle,Olympic,61.8,NED
1964,100m,Freestyle,Women,CAN,Marion Beverly Lay,00:01:02.200000,3,100m Freestyle,Olympic,62.2,Canada
1964,100m,Freestyle,Women,HUN,Csilla Madarasz-Bajnogel-Dobai,00:01:02.400000,4,100m Freestyle,Olympic,62.4,Hungary
1964,100m,Freestyle,Women,SWE,Ann-Christine Hagberg,00:01:02.500000,4,100m Freestyle,Olympic,62.5,Sweden
1964,100m,Freestyle,Women,AUS,Lynette Bell,00:01:02.700000,4,100m Freestyle,Olympic,62.7,Australia
1964,1500m,Freestyle,Men,AUS,Robert George Windle,00:17:01.700000,1,1500m Freestyle,Olympic,1021.7,Australia
1964,1500m,Freestyle,Men,USA,John Mauer Nelson,00:17:03.000000,2,1500m Freestyle,Olympic,1023.0,United States
1964,1500m,Freestyle,Men,AUS,Allan Wood,00:17:07.700000,3,1500m Freestyle,Olympic,1027.7,Australia
1964,1500m,Freestyle,Men,USA,William Winfield Farley,00:17:18.200000,4,1500m Freestyle,Olympic,1038.2,United States
1964,1500m,Freestyle,Men,AUS,Russell Phegan,00:17:22.400000,4,1500m Freestyle,Olympic,1042.4,Australia
